post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
49694871,Watch AI materials-science and bioscience abilities closely,technology,15,10,joozio,2026-09-14 18:01:08,1.6666666666666665,False
49693384,OpenArch – PyTorch implementations of modern LLM architectures,technology,59,10,anuj0456,2026-09-14 18:01:13,1.1694915254237288,False
49695409,"Apple's Siri AI Can Be Swapped Out for Claude, ChatGPT, Code Shows",technology,22,4,tosh,2026-09-14 18:01:14,1.1818181818181819,False
49695057,Show HN: StemJSON – a language for LLMs to extend native mobile apps on the fly,technology,5,0,vkrychun,2026-09-14 18:01:18,1.0,False
49690554,The case against JPEG XL,technology,199,258,contact9879,2026-09-14 18:01:22,2.2964824120603016,True
49662246,"Rope, twine and thread: Invisible technologies of the Stone Age",technology,90,35,knowablemag,2026-09-14 18:01:30,1.3888888888888888,False
49690260,Open-source AI and open models reading list,technology,127,24,simonpure,2026-09-14 18:01:44,1.188976377952756,False
49694596,Big AI sets out its terms for regulatory capture,technology,13,0,joebuckwilliams,2026-09-14 18:01:46,1.0,False
49683953,Data collected by cars and sold to third parties,technology,439,224,bookofjoe,2026-09-14 18:01:53,1.510250569476082,True
49694997,AI Risk: The Approval Nobody Signed Off,technology,6,0,SanjeevSharma,2026-09-14 18:02:09,1.0,False
49651567,Sean Carroll explains the biggest ideas in the universe – Full Interview [video] (2025),technology,91,26,binyu,2026-09-14 18:02:11,1.2857142857142856,False
49694366,XCancel service is suspended (again),technology,6,0,shelfchair,2026-09-14 18:02:14,1.0,False
49692118,Who gets to define the rules for AI?,technology,45,32,throwworhtthrow,2026-09-14 18:02:16,1.7111111111111112,False
49691584,"Chess.com Leak Exposes 7.3M Users, Evidence Points to Scraping",technology,74,20,kristianp,2026-09-14 18:02:19,1.2702702702702702,False
49685253,"Garry Tan wants US open-weight AI labs to 'distill' frontier models, too",technology,392,216,TheJCDenton,2026-09-14 18:02:22,1.5510204081632653,True
49678969,"Why are AI agents lying, cheating and coordinating?",technology,628,677,jonifico,2026-09-14 18:02:23,2.0780254777070066,True
49643059,Bad code is kudzu,technology,59,19,surprisetalk,2026-09-14 18:02:25,1.3220338983050848,False
